"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"F(p1)","ltl2tgba-DG","ok",0,0.00695383,2,3,4,1,2,0,0,1
"F(p1)","ltl3tela-D1","ok",0,0.00346418,2,3,4,1,2,0,0,1
"F(p1)","delag","ok",0,0.582101,2,3,4,1,2,0,0,1
"F(p1)","rabinizer4","ok",0,0.573486,2,3,4,1,2,0,0,1
"(F(p1)) & (F(p2))","ltl2tgba-DG","ok",0,0.00750587,4,9,16,1,4,0,0,1
"(F(p1)) & (F(p2))","ltl3tela-D1","ok",0,0.00794779,4,9,16,1,4,0,0,1
"(F(p1)) & (F(p2))","delag","ok",0,0.573165,4,9,16,1,4,0,0,1
"(F(p1)) & (F(p2))","rabinizer4","ok",0,0.56206,4,9,16,1,4,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","ltl2tgba-DG","ok",0,0.0069247,8,27,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","ltl3tela-D1","ok",0,0.0111929,8,27,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","delag","ok",0,0.544652,8,27,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","rabinizer4","ok",0,0.60978,8,27,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","ltl2tgba-DG","ok",0,0.00904192,16,81,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","ltl3tela-D1","ok",0,0.032741,16,81,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","delag","ok",0,0.620416,16,81,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","rabinizer4","ok",0,0.581366,16,81,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","ltl2tgba-DG","ok",0,0.0113005,32,243,1024,1,32,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","ltl3tela-D1","ok",0,0.153357,32,243,1024,1,32,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","delag","ok",0,0.696912,32,243,1024,1,32,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","rabinizer4","ok",0,0.666012,32,243,1024,1,32,0,0,1
"F(G(p1))","ltl2tgba-DG","ok",0,0.00801417,1,2,2,1,1,0,0,1
"F(G(p1))","ltl3tela-D1","ok",0,0.00732325,1,2,2,1,1,0,0,1
"F(G(p1))","delag","ok",0,0.523197,1,2,2,1,1,0,0,1
"F(G(p1))","rabinizer4","ok",0,0.559043,1,2,2,1,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","ltl2tgba-DG","ok",0,0.00753545,1,2,4,1,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","ltl3tela-D1","ok",0,0.00682614,1,2,4,1,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","delag","ok",0,0.508972,1,4,4,2,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","rabinizer4","ok",0,0.613007,1,2,4,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3)))","ltl2tgba-DG","ok",0,0.00885446,1,2,8,1,1,0,0,1
