"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"F(p1)","rabinizer4","ok",0,0.421358,2,3,4,2,2,0,0,1
"F(p1)","ltl2tgba-DG","ok",0,0.00564448,2,3,4,1,2,0,0,1
"F(p1)","delag","ok",0,0.376675,2,4,4,1,2,0,0,1
"F(p1)","ltl3tela-D1","ok",0,0.0122969,2,3,4,1,2,0,0,1
"(F(p1)) & (F(p2))","rabinizer4","ok",0,0.467019,4,9,16,2,4,0,0,1
"(F(p1)) & (F(p2))","ltl2tgba-DG","ok",0,0.0136358,4,9,16,1,4,0,0,1
"(F(p1)) & (F(p2))","delag","ok",0,0.409603,4,16,16,1,4,0,0,1
"(F(p1)) & (F(p2))","ltl3tela-D1","ok",0,0.00583997,4,9,16,1,4,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","rabinizer4","ok",0,0.438305,8,27,64,2,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","ltl2tgba-DG","ok",0,0.0063579,8,27,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","delag","ok",0,0.436345,8,64,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","ltl3tela-D1","ok",0,0.0370421,8,27,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","rabinizer4","ok",0,0.446105,16,81,256,2,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","ltl2tgba-DG","ok",0,0.013549,16,81,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","delag","ok",0,0.438809,16,256,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","ltl3tela-D1","ok",0,0.0263913,16,81,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","rabinizer4","ok",0,0.479018,32,243,1024,2,32,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","ltl2tgba-DG","ok",0,0.0320122,32,243,1024,1,32,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","delag","ok",0,0.488129,32,1024,1024,1,32,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","ltl3tela-D1","ok",0,0.108047,32,243,1024,1,32,0,0,1
"F(G(p1))","rabinizer4","ok",0,0.422818,1,2,2,1,1,0,0,1
"F(G(p1))","ltl2tgba-DG","ok",0,0.0141161,1,2,2,1,1,0,0,1
"F(G(p1))","delag","ok",0,0.38599,1,2,2,1,1,0,0,1
"F(G(p1))","ltl3tela-D1","ok",0,0.013551,1,2,2,1,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","rabinizer4","ok",0,0.474402,1,2,4,1,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","ltl2tgba-DG","ok",0,0.0102137,1,2,4,1,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","delag","ok",0,0.392537,1,4,4,2,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","ltl3tela-D1","ok",0,0.0180903,1,2,4,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3)))","rabinizer4","ok",0,0.453459,1,2,8,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3)))","ltl2tgba-DG","ok",0,0.00810435,1,2,8,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3)))","delag","ok",0,0.390549,1,8,8,3,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3)))","ltl3tela-D1","ok",0,0.00769746,1,2,8,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4)))","rabinizer4","ok",0,0.456301,1,2,16,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4)))","ltl2tgba-DG","ok",0,0.0100292,1,2,16,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4)))","delag","ok",0,0.382993,1,16,16,4,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4)))","ltl3tela-D1","ok",0,0.0114156,1,2,16,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))) & (F(G(p5)))","rabinizer4","ok",0,0.531198,1,2,32,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))) & (F(G(p5)))","ltl2tgba-DG","ok",0,0.0496319,1,2,32,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))) & (F(G(p5)))","delag","ok",0,0.481727,1,32,32,5,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))) & (F(G(p5)))","ltl3tela-D1","ok",0,0.0468387,1,2,32,1,1,0,0,1
"G(F(p1))","rabinizer4","ok",0,0.426618,1,2,2,2,1,0,0,1
"G(F(p1))","ltl2tgba-DG","ok",0,0.0107211,1,2,2,1,1,0,0,1
"G(F(p1))","delag","ok",0,0.365918,1,2,2,1,1,0,0,1
"G(F(p1))","ltl3tela-D1","ok",0,0.0157843,1,2,2,1,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","rabinizer4","ok",0,0.455217,1,4,4,3,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","ltl2tgba-DG","ok",0,0.00692156,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","delag","ok",0,0.37481,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","ltl3tela-D1","ok",0,0.00936968,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","rabinizer4","ok",0,0.450325,1,8,8,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","ltl2tgba-DG","ok",0,0.0084149,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","delag","ok",0,0.410558,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","ltl3tela-D1","ok",0,0.0168473,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","rabinizer4","ok",0,0.482215,1,16,16,5,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","ltl2tgba-DG","ok",0,0.0320574,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","delag","ok",0,0.416237,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","ltl3tela-D1","ok",0,0.0459519,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","rabinizer4","ok",0,0.528557,1,32,32,6,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","ltl2tgba-DG","ok",0,0.0135213,1,32,32,5,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","delag","ok",0,0.453714,1,32,32,5,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","ltl3tela-D1","ok",0,0.277971,1,32,32,5,1,0,0,1
"(F(p1)) & (F(q1))","rabinizer4","ok",0,0.395014,4,9,16,2,4,0,0,1
"(F(p1)) & (F(q1))","ltl2tgba-DG","ok",0,0.0138853,4,9,16,1,4,0,0,1
"(F(p1)) & (F(q1))","delag","ok",0,0.419214,4,16,16,1,4,0,0,1
"(F(p1)) & (F(q1))","ltl3tela-D1","ok",0,0.00595447,4,9,16,1,4,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","rabinizer4","ok",0,0.455672,9,36,144,2,9,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","ltl2tgba-DG","ok",0,0.0275984,9,36,144,1,9,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","delag","ok",0,0.477953,9,144,144,1,9,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","ltl3tela-D1","ok",0,0.0401071,9,36,144,1,9,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","rabinizer4","ok",0,0.510614,16,100,1024,2,16,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","ltl2tgba-DG","ok",0,0.0141364,16,100,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","delag","ok",0,0.559754,16,1024,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","ltl3tela-D1","ok",0,0.0541097,16,100,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","rabinizer4","ok",0,0.679608,25,225,6400,2,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","ltl2tgba-DG","ok",0,0.0985034,25,225,6400,1,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","delag","ok",0,0.714871,25,6400,6400,1,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","ltl3tela-D1","ok",0,0.256338,25,225,6400,1,25,0,0,1
