"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"(X(a)) R (((G(b)) R (c)) W (d))","ltl2tgba-DG","ok",0,0.0121369,15,64,144,1,9,0,0,0
"(X(a)) R (((G(b)) R (c)) W (d))","ltl3tela-D1","ok",0,0.0405308,15,64,144,1,9,0,0,0
"(X(a)) R (((G(b)) R (c)) W (d))","delag","ok",0,0.498709,15,64,144,1,9,0,0,0
"(X(a)) R (((G(b)) R (c)) W (d))","rabinizer4","ok",0,0.820297,15,64,144,1,9,0,0,0
"F((a) R (((a) & (b)) U (c)))","ltl2tgba-DG","ok",0,0.00998654,4,12,32,2,2,0,0,1
"F((a) R (((a) & (b)) U (c)))","ltl3tela-D1","ok",0,0.0120194,3,8,24,1,2,0,0,1
"F((a) R (((a) & (b)) U (c)))","delag","ok",0,0.555141,3,8,24,3,2,0,0,1
"F((a) R (((a) & (b)) U (c)))","rabinizer4","ok",0,0.643453,3,8,24,3,2,0,0,1
"X((a) | (F(b)))","ltl2tgba-DG","ok",0,0.00619839,4,6,16,1,4,0,0,1
"X((a) | (F(b)))","ltl3tela-D1","ok",0,0.00498738,4,6,16,1,4,0,0,1
"X((a) | (F(b)))","delag","ok",0,0.487895,4,6,16,1,4,0,0,1
"X((a) | (F(b)))","rabinizer4","ok",0,0.493825,4,6,16,1,4,0,0,1
"F(G(a))","ltl2tgba-DG","ok",0,0.0064023,1,2,2,1,1,0,0,1
"F(G(a))","ltl3tela-D1","ok",0,0.00507286,1,2,2,1,1,0,0,1
"F(G(a))","delag","ok",0,0.437884,1,2,2,1,1,0,0,1
"F(G(a))","rabinizer4","ok",0,0.501733,1,2,2,1,1,0,0,1
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","ltl2tgba-DG","ok",0,0.0100307,19,86,216,1,13,0,0,0
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","ltl3tela-D1","ok",0,0.0503051,19,86,216,1,13,0,0,0
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","delag","ok",0,0.954965,19,86,216,1,13,0,0,0
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","rabinizer4","ok",0,0.820184,19,86,216,1,13,0,0,0
"((a) W (b)) & (X(c))","ltl2tgba-DG","ok",0,0.00644178,5,8,27,1,5,0,0,0
"((a) W (b)) & (X(c))","ltl3tela-D1","ok",0,0.006196,5,8,27,0,5,0,0,0
"((a) W (b)) & (X(c))","delag","ok",0,0.456779,5,8,27,1,5,0,0,0
"((a) W (b)) & (X(c))","rabinizer4","ok",0,0.54625,5,8,27,1,5,0,0,0
"G(((a) | (X(b))) M (G(c)))","ltl2tgba-DG","ok",0,0.00727285,2,4,8,1,1,0,0,0
"G(((a) | (X(b))) M (G(c)))","ltl3tela-D1","ok",0,0.013964,2,4,8,1,1,0,0,0
"G(((a) | (X(b))) M (G(c)))","delag","ok",0,0.571558,1,4,4,2,1,0,0,0
"G(((a) | (X(b))) M (G(c)))","rabinizer4","ok",0,0.784535,1,4,4,2,1,0,0,0
"G((a) & (X((b) | ((!(a)) M (G(c))))))","ltl2tgba-DG","ok",0,0.00794668,2,2,3,1,2,0,0,0
"G((a) & (X((b) | ((!(a)) M (G(c))))))","ltl3tela-D1","ok",0,0.0117684,2,2,3,1,2,0,0,0
"G((a) & (X((b) | ((!(a)) M (G(c))))))","delag","ok",0,0.814726,2,2,3,1,2,0,0,0
"G((a) & (X((b) | ((!(a)) M (G(c))))))","rabinizer4","ok",0,0.796185,2,2,3,1,2,0,0,0
"((a) & (X((a) W (b)))) W ((F(c)) & (X(!(c))))","ltl2tgba-DG","ok",0,0.0083144,10,28,66,1,9,0,0,0
"((a) & (X((a) W (b)))) W ((F(c)) & (X(!(c))))","ltl3tela-D1","ok",0,0.0226118,10,28,66,1,9,0,0,0
"((a) & (X((a) W (b)))) W ((F(c)) & (X(!(c))))","delag","ok",0,0.892997,10,28,66,1,9,0,0,0
"((a) & (X((a) W (b)))) W ((F(c)) & (X(!(c))))","rabinizer4","ok",0,0.80657,10,28,66,1,9,0,0,0
"X(((a) | ((b) & (G(c)))) M (G(F(d))))","ltl2tgba-DG","ok",0,0.0117496,4,10,64,2,3,0,0,1
"X(((a) | ((b) & (G(c)))) M (G(F(d))))","ltl3tela-D1","ok",0,0.0244395,4,10,64,2,3,0,0,1
"X(((a) | ((b) & (G(c)))) M (G(F(d))))","delag","ok",0,0.887574,4,13,64,3,3,0,0,1
"X(((a) | ((b) & (G(c)))) M (G(F(d))))","rabinizer4","ok",0,0.797433,4,11,64,2,3,0,0,1
"X(a)","ltl2tgba-DG","ok",0,0.006045,3,3,5,1,3,0,0,0
"X(a)","ltl3tela-D1","ok",0,0.0035509,3,3,5,0,3,0,0,0
"X(a)","delag","ok",0,0.467307,3,3,5,1,3,0,0,0
"X(a)","rabinizer4","ok",0,0.49602,3,3,5,1,3,0,0,0
"(X(a)) M ((!(b)) & (F(b)))","ltl2tgba-DG","ok",0,0.00806111,4,7,13,1,4,0,0,0
"(X(a)) M ((!(b)) & (F(b)))","ltl3tela-D1","ok",0,0.00916797,4,7,13,1,4,0,0,0
"(X(a)) M ((!(b)) & (F(b)))","delag","ok",0,0.549104,4,7,13,1,4,0,0,0
"(X(a)) M ((!(b)) & (F(b)))","rabinizer4","ok",0,0.530147,4,7,13,1,4,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl2tgba-DG","ok",0,0.00669602,5,9,16,1,5,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl3tela-D1","ok",0,0.0128567,5,9,16,1,5,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","delag","ok",0,0.833418,5,9,16,1,5,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","rabinizer4","ok",0,0.829416,5,9,16,1,5,0,0,0
"G((X(a)) | ((b) W (c)))","ltl2tgba-DG","ok",0,0.00702344,4,12,25,1,1,0,0,0
"G((X(a)) | ((b) W (c)))","ltl3tela-D1","ok",0,0.0111956,4,12,25,0,1,0,0,0
"G((X(a)) | ((b) W (c)))","delag","ok",0,0.520783,4,12,25,1,1,0,0,0
"G((X(a)) | ((b) W (c)))","rabinizer4","ok",0,0.665239,4,12,25,1,1,0,0,0
"X(G(a))","ltl2tgba-DG","ok",0,0.00671712,2,2,3,1,2,0,0,0
"X(G(a))","ltl3tela-D1","ok",0,0.00502481,2,2,3,0,2,0,0,0
"X(G(a))","delag","ok",0,0.497327,2,2,3,1,2,0,0,0
"X(G(a))","rabinizer4","ok",0,0.513956,2,2,3,1,2,0,0,0
"G(a)","ltl2tgba-DG","ok",0,0.00616704,1,1,1,1,1,0,0,0
"G(a)","ltl3tela-D1","ok",0,0.00341936,1,1,1,0,1,0,0,0
"G(a)","delag","ok",0,0.439094,1,1,1,1,1,0,0,0
"G(a)","rabinizer4","ok",0,0.508442,1,1,1,1,1,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl2tgba-DG","ok",0,0.00992372,11,31,128,1,11,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl3tela-D1","ok",0,0.0387978,11,31,128,1,11,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","delag","ok",0,0.990216,11,31,128,1,11,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","rabinizer4","ok",0,0.911357,11,31,128,1,11,0,0,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl2tgba-DG","ok",0,0.0112205,6,31,48,2,2,0,0,1
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl3tela-D1","ok",0,0.046849,6,31,48,2,2,0,0,1
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","delag","ok",0,1.05081,10,53,80,3,1,0,0,1
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","rabinizer4","ok",0,0.909679,7,41,56,8,1,0,0,1
