"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"(X(a)) R (((G(b)) R (c)) W (d))","rabinizer4","ok",0,0.611188,22,107,204,8,11,0,0,0
"(X(a)) R (((G(b)) R (c)) W (d))","ltl2tgba-DG","ok",0,0.0088113,15,64,144,1,9,0,0,0
"(X(a)) R (((G(b)) R (c)) W (d))","delag","ok",0,0.398176,15,144,144,1,9,0,0,0
"(X(a)) R (((G(b)) R (c)) W (d))","ltl3tela-D1","ok",0,0.0628143,15,64,144,1,9,0,0,0
"F((a) R (((a) & (b)) U (c)))","rabinizer4","ok",0,0.534776,3,8,24,3,2,0,0,1
"F((a) R (((a) & (b)) U (c)))","ltl2tgba-DG","ok",0,0.00820824,4,12,32,2,2,0,0,1
"F((a) R (((a) & (b)) U (c)))","delag","ok",0,0.455881,3,24,24,3,2,0,0,1
"F((a) R (((a) & (b)) U (c)))","ltl3tela-D1","ok",0,0.0350928,3,8,24,1,2,0,0,1
"X((a) | (F(b)))","rabinizer4","ok",0,0.412062,4,6,16,2,4,0,0,1
"X((a) | (F(b)))","ltl2tgba-DG","ok",0,0.0103087,4,6,16,1,4,0,0,1
"X((a) | (F(b)))","delag","ok",0,0.424588,4,16,16,1,4,0,0,1
"X((a) | (F(b)))","ltl3tela-D1","ok",0,0.0221666,4,6,16,1,4,0,0,1
"F(G(a))","rabinizer4","ok",0,0.490062,1,2,2,1,1,0,0,1
"F(G(a))","ltl2tgba-DG","ok",0,0.00625581,1,2,2,1,1,0,0,1
"F(G(a))","delag","ok",0,0.347741,1,2,2,1,1,0,0,1
"F(G(a))","ltl3tela-D1","ok",0,0.0103879,1,2,2,1,1,0,0,1
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","rabinizer4","ok",0,0.603361,24,109,280,2,17,0,0,0
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","ltl2tgba-DG","ok",0,0.00919279,19,86,216,1,13,0,0,0
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","delag","ok",0,0.69462,22,240,240,2,15,0,0,0
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","ltl3tela-D1","ok",0,0.105538,19,86,216,1,13,0,0,0
"((a) W (b)) & (X(c))","rabinizer4","ok",0,0.391359,5,8,27,1,5,0,0,0
"((a) W (b)) & (X(c))","ltl2tgba-DG","ok",0,0.0102131,5,8,27,1,5,0,0,0
"((a) W (b)) & (X(c))","delag","ok",0,0.341988,5,27,27,1,5,0,0,0
