"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"F(p1)","ltl3ba","ok",0,0.00999226,2,3,4,1,2,0,0,1
"F(p1)","ltl2tgba-G","ok",0,0.00652038,2,3,4,1,2,0,0,1
"F(p1)","ltl2tgba","ok",0,0.00619892,2,3,4,1,2,0,0,1
"F(p1)","ltl3tela","ok",0,0.00375236,2,3,4,1,2,0,0,1
"(F(p1)) & (F(p2))","ltl3ba","ok",0,0.0105244,4,9,16,2,4,0,0,1
"(F(p1)) & (F(p2))","ltl2tgba-G","ok",0,0.00618479,4,9,16,1,4,0,0,1
"(F(p1)) & (F(p2))","ltl2tgba","ok",0,0.00619751,4,9,16,1,4,0,0,1
"(F(p1)) & (F(p2))","ltl3tela","ok",0,0.00594069,4,9,16,1,4,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","ltl3ba","ok",0,0.00944717,8,27,64,3,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","ltl2tgba-G","ok",0,0.00653792,8,27,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","ltl2tgba","ok",0,0.00736296,8,27,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3))","ltl3tela","ok",0,0.0126032,8,27,64,1,8,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","ltl3ba","ok",0,0.010825,16,81,256,4,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","ltl2tgba-G","ok",0,0.00826673,16,81,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","ltl2tgba","ok",0,0.00802055,16,81,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4))","ltl3tela","ok",0,0.0287525,16,81,256,1,16,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","ltl3ba","ok",0,0.0116079,32,243,1024,5,32,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","ltl2tgba-G","ok",0,0.0107199,32,243,1024,1,32,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","ltl2tgba","ok",0,0.0104442,32,243,1024,1,32,0,0,1
"(F(p1)) & (F(p2)) & (F(p3)) & (F(p4)) & (F(p5))","ltl3tela","ok",0,0.115416,32,243,1024,1,32,0,0,1
"F(G(p1))","ltl3ba","ok",0,0.00953109,2,3,4,1,2,1,1,0
"F(G(p1))","ltl2tgba-G","ok",0,0.00604145,1,2,2,1,1,0,0,1
"F(G(p1))","ltl2tgba","ok",0,0.00609623,2,3,4,1,2,1,1,0
"F(G(p1))","ltl3tela","ok",0,0.00458503,1,2,2,1,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","ltl3ba","ok",0,0.00972576,2,3,6,1,2,1,1,0
"(F(G(p1))) & (F(G(p2)))","ltl2tgba-G","ok",0,0.00804003,1,2,4,1,1,0,0,1
"(F(G(p1))) & (F(G(p2)))","ltl2tgba","ok",0,0.00690207,2,3,6,1,2,1,1,0
"(F(G(p1))) & (F(G(p2)))","ltl3tela","ok",0,0.00556993,1,2,4,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3)))","ltl3ba","ok",0,0.0105245,2,3,10,1,2,1,1,0
"(F(G(p1))) & (F(G(p2))) & (F(G(p3)))","ltl2tgba-G","ok",0,0.0076802,1,2,8,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3)))","ltl2tgba","ok",0,0.00758966,2,3,10,1,2,1,1,0
"(F(G(p1))) & (F(G(p2))) & (F(G(p3)))","ltl3tela","ok",0,0.00761943,1,2,8,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4)))","ltl3ba","ok",0,0.00957829,2,3,18,1,2,1,1,0
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4)))","ltl2tgba-G","ok",0,0.00961637,1,2,16,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4)))","ltl2tgba","ok",0,0.00973243,2,3,18,1,2,1,1,0
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4)))","ltl3tela","ok",0,0.0112767,1,2,16,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))) & (F(G(p5)))","ltl3ba","ok",0,0.00980727,2,3,34,1,2,1,1,0
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))) & (F(G(p5)))","ltl2tgba-G","ok",0,0.0137203,1,2,32,1,1,0,0,1
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))) & (F(G(p5)))","ltl2tgba","ok",0,0.0136078,2,3,34,1,2,1,1,0
"(F(G(p1))) & (F(G(p2))) & (F(G(p3))) & (F(G(p4))) & (F(G(p5)))","ltl3tela","ok",0,0.0241314,1,2,32,1,1,0,0,1
"G(F(p1))","ltl3ba","ok",0,0.00897268,1,2,2,1,1,0,0,1
"G(F(p1))","ltl2tgba-G","ok",0,0.00594605,1,2,2,1,1,0,0,1
"G(F(p1))","ltl2tgba","ok",0,0.00594736,1,2,2,1,1,0,0,1
"G(F(p1))","ltl3tela","ok",0,0.00496351,1,2,2,1,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","ltl3ba","ok",0,0.00937273,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","ltl2tgba-G","ok",0,0.00663224,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","ltl2tgba","ok",0,0.00722337,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","ltl3tela","ok",0,0.00914894,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","ltl3ba","ok",0,0.0102622,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","ltl2tgba-G","ok",0,0.00786278,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","ltl2tgba","ok",0,0.00786062,1,8,8,3,1,0,0,1
