"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"(X(a)) R (((G(b)) R (c)) W (d))","ltl3ba","ok",0,0.0124885,13,35,145,0,13,7,1,0
"(X(a)) R (((G(b)) R (c)) W (d))","ltl2tgba-G","ok",0,0.0106745,13,35,136,0,13,7,1,0
"(X(a)) R (((G(b)) R (c)) W (d))","ltl2tgba","ok",0,0.010569,13,35,136,0,13,7,1,0
"(X(a)) R (((G(b)) R (c)) W (d))","ltl3tela","ok",0,0.0450589,13,35,136,0,13,7,1,0
"F((a) R (((a) & (b)) U (c)))","ltl3ba","ok",0,0.010534,4,10,29,2,4,1,1,0
"F((a) R (((a) & (b)) U (c)))","ltl2tgba-G","ok",0,0.00776389,4,10,29,1,4,1,1,0
"F((a) R (((a) & (b)) U (c)))","ltl2tgba","ok",0,0.00767048,4,10,29,1,4,1,1,0
"F((a) R (((a) & (b)) U (c)))","ltl3tela","ok",0,0.00898362,3,8,24,1,2,0,0,1
"X((a) | (F(b)))","ltl3ba","ok",0,0.00954009,4,6,16,1,4,0,0,1
"X((a) | (F(b)))","ltl2tgba-G","ok",0,0.00630714,4,6,16,1,4,0,0,1
"X((a) | (F(b)))","ltl2tgba","ok",0,0.00622942,4,6,16,1,4,0,0,1
"X((a) | (F(b)))","ltl3tela","ok",0,0.00563881,4,6,16,1,4,0,0,1
"F(G(a))","ltl3ba","ok",0,0.0118662,2,3,4,1,2,1,1,0
"F(G(a))","ltl2tgba-G","ok",0,0.00623861,1,2,2,1,1,0,0,1
"F(G(a))","ltl2tgba","ok",0,0.0070756,2,3,4,1,2,1,1,0
"F(G(a))","ltl3tela","ok",0,0.00466026,1,2,2,1,1,0,0,1
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","ltl3ba","ok",0,0.0112554,13,38,156,3,11,3,1,0
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","ltl2tgba-G","ok",0,0.0124329,13,38,148,1,11,3,1,0
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","ltl2tgba","ok",0,0.0120319,13,38,148,1,11,3,1,0
"(((a) & (G(b))) | ((!(a)) & (F(!(b))))) U ((c) M ((!(b)) | (X(d))))","ltl3tela","ok",0,0.0543034,13,38,148,1,11,3,1,0
"((a) W (b)) & (X(c))","ltl3ba","ok",0,0.0101557,5,8,27,0,5,0,0,0
"((a) W (b)) & (X(c))","ltl2tgba-G","ok",0,0.00714195,5,8,27,1,5,0,0,0
"((a) W (b)) & (X(c))","ltl2tgba","ok",0,0.00689714,5,8,27,1,5,0,0,0
"((a) W (b)) & (X(c))","ltl3tela","ok",0,0.00772641,5,8,27,0,5,0,0,0
"G(((a) | (X(b))) M (G(c)))","ltl3ba","ok",0,0.0101647,2,6,9,1,1,2,1,0
"G(((a) | (X(b))) M (G(c)))","ltl2tgba-G","ok",0,0.00760458,2,6,9,1,1,2,1,0
"G(((a) | (X(b))) M (G(c)))","ltl2tgba","ok",0,0.00732181,2,6,9,1,1,2,1,0
"G(((a) | (X(b))) M (G(c)))","ltl3tela","ok",0,0.0115796,2,6,9,1,1,2,1,0
"G((a) & (X((b) | ((!(a)) M (G(c))))))","ltl3ba","ok",0,0.0099794,2,2,6,1,2,0,0,0
"G((a) & (X((b) | ((!(a)) M (G(c))))))","ltl2tgba-G","ok",0,0.00882154,2,2,3,1,2,0,0,0
"G((a) & (X((b) | ((!(a)) M (G(c))))))","ltl2tgba","ok",0,0.00742198,2,2,3,1,2,0,0,0
"G((a) & (X((b) | ((!(a)) M (G(c))))))","ltl3tela","ok",0,0.0120314,2,2,3,1,2,0,0,0
"((a) & (X((a) W (b)))) W ((F(c)) & (X(!(c))))","ltl3ba","ok",0,0.0112132,10,23,64,1,10,2,1,0
"((a) & (X((a) W (b)))) W ((F(c)) & (X(!(c))))","ltl2tgba-G","ok",0,0.00923236,10,28,66,1,9,0,0,0
"((a) & (X((a) W (b)))) W ((F(c)) & (X(!(c))))","ltl2tgba","ok",0,0.00950031,10,28,66,1,9,0,0,0
"((a) & (X((a) W (b)))) W ((F(c)) & (X(!(c))))","ltl3tela","ok",0,0.022941,10,28,66,1,9,0,0,0
"X(((a) | ((b) & (G(c)))) M (G(F(d))))","ltl3ba","ok",0,0.0109439,4,8,66,2,4,1,1,0
"X(((a) | ((b) & (G(c)))) M (G(F(d))))","ltl2tgba-G","ok",0,0.00890212,4,8,58,1,4,1,1,0
"X(((a) | ((b) & (G(c)))) M (G(F(d))))","ltl2tgba","ok",0,0.00945953,4,8,58,1,4,1,1,0
"X(((a) | ((b) & (G(c)))) M (G(F(d))))","ltl3tela","ok",0,0.0204531,4,13,64,2,3,0,0,1
"X(a)","ltl3ba","ok",0,0.0103523,3,3,5,0,3,0,0,0
"X(a)","ltl2tgba-G","ok",0,0.00581754,3,3,5,1,3,0,0,0
"X(a)","ltl2tgba","ok",0,0.00634069,3,3,5,1,3,0,0,0
"X(a)","ltl3tela","ok",0,0.00367127,3,3,5,0,3,0,0,0
"(X(a)) M ((!(b)) & (F(b)))","ltl3ba","ok",0,0.00903762,4,7,14,2,4,1,1,0
"(X(a)) M ((!(b)) & (F(b)))","ltl2tgba-G","ok",0,0.00647719,4,7,13,1,4,0,0,0
"(X(a)) M ((!(b)) & (F(b)))","ltl2tgba","ok",0,0.00683177,4,7,13,1,4,0,0,0
"(X(a)) M ((!(b)) & (F(b)))","ltl3tela","ok",0,0.00925288,4,7,13,1,4,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl3ba","ok",0,0.0097991,6,12,18,1,6,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl2tgba-G","ok",0,0.00752689,5,9,16,1,5,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl2tgba","ok",0,0.00717821,5,9,16,1,5,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl3tela","ok",0,0.010591,5,9,16,1,5,0,0,0
"G((X(a)) | ((b) W (c)))","ltl3ba","ok",0,0.0096265,3,8,21,0,1,2,1,0
"G((X(a)) | ((b) W (c)))","ltl2tgba-G","ok",0,0.00677727,3,8,21,0,1,2,1,0
"G((X(a)) | ((b) W (c)))","ltl2tgba","ok",0,0.00681277,3,8,21,0,1,2,1,0
"G((X(a)) | ((b) W (c)))","ltl3tela","ok",0,0.0103439,3,8,21,0,1,2,1,0
"X(G(a))","ltl3ba","ok",0,0.0105649,2,2,3,0,2,0,0,0
"X(G(a))","ltl2tgba-G","ok",0,0.00610349,2,2,3,1,2,0,0,0
"X(G(a))","ltl2tgba","ok",0,0.00656723,2,2,3,1,2,0,0,0
"X(G(a))","ltl3tela","ok",0,0.00465726,2,2,3,0,2,0,0,0
"G(a)","ltl3ba","ok",0,0.00945224,1,1,1,0,1,0,0,0
"G(a)","ltl2tgba-G","ok",0,0.00573198,1,1,1,1,1,0,0,0
"G(a)","ltl2tgba","ok",0,0.00618246,1,1,1,1,1,0,0,0
"G(a)","ltl3tela","ok",0,0.00380645,1,1,1,0,1,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl3ba","ok",0,0.010688,14,31,196,2,14,5,1,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl2tgba-G","ok",0,0.0119278,11,31,128,1,11,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl2tgba","ok",0,0.0105101,11,31,128,1,11,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl3tela","ok",0,0.0367035,11,31,128,1,11,0,0,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl3ba","ok",0,0.00907314,5,17,33,2,2,3,1,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl2tgba-G","ok",0,0.00957919,5,16,31,1,2,3,1,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl2tgba","ok",0,0.00891574,5,16,31,1,2,3,1,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl3tela","ok",0,0.0388292,5,16,31,1,2,3,1,0
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","ltl3ba","ok",0,0.00873822,7,14,64,2,7,3,1,0
