"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"G((F(a)) & (F(G(b))))","ltl3ba","ok",0,0.00774832,3,8,12,2,3,1,1,0,"HOA: v1 name: ""TGBA for []((<>(a)) && (<>([](b))))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""G(F(a) && FG(b))"" [!0] 1 [0] 1 {0} State: 1 ""F(a) && FG(b) && G(F(a) && FG(b))"" [!0&1] 2 {1} [0&1] 2 {0 1} [!0] 1 [0] 1 {0} State: 2 ""F(a) && G(b) && G(F(a) && FG(b))"" [!0&1] 2 {1} [0&1] 2 {0 1} --END--"
"G((F(a)) & (F(G(b))))","ltl3tela_alt","ok",0,0.00478503,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&1] 0 [!0&!1] 0 {0} [0&1] 0 {1} [0&!1] 0 {0 1} --END--"
"G((F(a)) & (F(G(b))))","ltl3tela","ok",0,0.00745687,1,3,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&1] 0 [!1] 0 {0} [0&1] 0 {1} --END--"
"G((F(a)) & (F(G(b))))","ltl2tgba","ok",0,0.0049986,1,3,4,2,1,0,0,1,"HOA: v1 name: ""G(Fa & FGb)"" States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&1] 0 [!1] 0 {0} [0&1] 0 {1} --END--"
"F((a) | (G(b)) | (G(c)) | (G(d)))","ltl3ba","ok",0,0.00776775,5,9,68,1,5,1,1,0,"HOA: v1 name: ""TGBA for <>((a) || ([](b)) || ([](c)) || ([](d)))"" States: 5 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F((((a) || G(b)) || G(c)) || G(d))"" [0] 4 {0} [!0&1] 3 {0} [!0&2] 2 {0} [!0&3] 1 {0} [!0] 0 State: 1 ""G(d)"" [3] 1 {0} State: 2 ""G(c)"" [2] 2 {0} State: 3 ""G(b)"" [1] 3 {0} State: 4 ""t"" [t] 4 {0} --END--"
"F((a) | (G(b)) | (G(c)) | (G(d)))","ltl3tela_alt","ok",0,0.00557493,2,6,37,5,2,1,1,1,"HOA: v1 States: 2 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" Acceptance: 5 (Fin(1)|Fin(2)|Fin(3)|Fin(4)) & Fin(0) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [!0&!1&!2&!3] 0 {0} [!0&3] 0 {1 2 3} [!0&2] 0 {1 2 4} [!0&1] 0 {1 3 4} [0] 1 State: 1 [t] 1 --END--"
"F((a) | (G(b)) | (G(c)) | (G(d)))","ltl3tela","ok",0,0.0173389,2,10,32,3,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" acc-name: generalized-co-Buchi 3 Acceptance: 3 Fin(0)|Fin(1)|Fin(2) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1&!2&!3] 0 {0 1 2} [!0&!1&!2&3] 0 {0 1} [!0&!1&2&!3] 0 {0 2} [!0&!1&2&3] 0 {0} [!0&1&!2&!3] 0 {1 2} [!0&1&!2&3] 0 {1} [!0&1&2&!3] 0 {2} [!0&1&2&3] 0 [0] 1 State: 1 [t] 1 --END--"
"F((a) | (G(b)) | (G(c)) | (G(d)))","ltl2tgba","ok",0,0.00688516,2,10,32,3,2,0,0,1,"HOA: v1 name: ""Fa | F(Gb | Gc | Gd)"" States: 2 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" acc-name: generalized-co-Buchi 3 Acceptance: 3 Fin(0)|Fin(1)|Fin(2) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&1&2&3] 0 [!0&!1&2&3] 0 {0} [!0&1&!2&3] 0 {1} [!0&!1&!2&3] 0 {0 1} [!0&1&2&!3] 0 {2} [!0&!1&2&!3] 0 {0 2} [!0&1&!2&!3] 0 {1 2} [!0&!1&!2&!3] 0 {0 1 2} [0] 1 State: 1 [t] 1 --END--"
"F((G(b)) | (G(c)) | (G(d)) | (G(a)) | (G(e)))","ltl3ba","ok",0,0.0078329,6,11,192,1,6,1,1,0,"HOA: v1 name: ""TGBA for <>(([](b)) || ([](c)) || ([](d)) || ([](a)) || ([](e)))"" States: 6 Start: 0 AP: 5 ""b"" ""c"" ""d"" ""a"" ""e"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F((((G(b) || G(c)) || G(d)) || G(a)) || G(e))"" [0] 5 {0} [1] 4 {0} [2] 3 {0} [3] 2 {0} [4] 1 {0} [t] 0 State: 1 ""G(e)"" [4] 1 {0} State: 2 ""G(a)"" [3] 2 {0} State: 3 ""G(d)"" [2] 3 {0} State: 4 ""G(c)"" [1] 4 {0} State: 5 ""G(b)"" [0] 5 {0} --END--"
"F((G(b)) | (G(c)) | (G(d)) | (G(a)) | (G(e)))","ltl3tela_alt","ok",0,0.006859,1,6,81,6,1,1,1,1,"HOA: v1 States: 1 Start: 0 AP: 5 ""b"" ""c"" ""d"" ""a"" ""e"" Acceptance: 6 (Fin(1)|Fin(2)|Fin(3)|Fin(4)|Fin(5)) & Fin(0) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [!0&!1&!2&!3&!4] 0 {0} [4] 0 {1 2 3 4} [3] 0 {1 2 3 5} [2] 0 {1 2 4 5} [1] 0 {1 3 4 5} [0] 0 {2 3 4 5} --END--"
