"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"F(a)","fmerg","ok",0,0.00251915,2,3,4,1,2,0,0,1,"HOA: v1 name: ""SLAA for Fa"" States: 2 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 ""Fa"" [0] 1 [!0] 0 {0} State: 1 ""t"" [t] 1 --END--"
"F(a)","basic","ok",0,0.00221976,2,3,4,1,2,0,0,1,"HOA: v1 name: ""SLAA for Fa"" States: 2 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 ""Fa"" [0] 1 [!0] 0 {0} State: 1 ""t"" [t] 1 --END--"
"F(a)","fgmerg","ok",0,0.00252567,2,3,4,1,2,0,0,1,"HOA: v1 name: ""SLAA for Fa"" States: 2 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 ""Fa"" [0] 1 [!0] 0 {0} State: 1 ""t"" [t] 1 --END--"
"F(a)","ltl3ba","ok",0,0.0106622,2,3,4,1,2,0,0,1,"HOA: v1 name: ""VWAA for <>(a)"" States: 2 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc complete deterministic very-weak --BODY-- State: 0 ""F(a)"" {0} [0] 1 [!0] 0 State: 1 ""t"" [t] 1 --END--"
"(F(a)) & ((b) R (!(a)))","fmerg","ok",0,0.00237645,4,7,12,1,4,0,0,0,"HOA: v1 name: ""SLAA for (b R !a) & Fa"" States: 4 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic univ-branch --BODY-- State: 0 ""(b R !a) & Fa"" [0&!1] 1 [!0&!1] 1&2 State: 1 ""Fa"" [1] 3 [!1] 1 {0} State: 2 ""b R !a"" [0&!1] 3 [!0&!1] 2 State: 3 ""t"" [t] 3 --END--"
"(F(a)) & ((b) R (!(a)))","basic","ok",0,0.00209996,4,7,12,1,4,0,0,0,"HOA: v1 name: ""SLAA for (b R !a) & Fa"" States: 4 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic univ-branch --BODY-- State: 0 ""(b R !a) & Fa"" [0&!1] 1 [!0&!1] 1&2 State: 1 ""Fa"" [1] 3 [!1] 1 {0} State: 2 ""b R !a"" [0&!1] 3 [!0&!1] 2 State: 3 ""t"" [t] 3 --END--"
"(F(a)) & ((b) R (!(a)))","fgmerg","ok",0,0.0021952,4,7,12,1,4,0,0,0,"HOA: v1 name: ""SLAA for (b R !a) & Fa"" States: 4 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic univ-branch --BODY-- State: 0 ""(b R !a) & Fa"" [0&!1] 1 [!0&!1] 1&2 State: 1 ""Fa"" [1] 3 [!1] 1 {0} State: 2 ""b R !a"" [0&!1] 3 [!0&!1] 2 State: 3 ""t"" [t] 3 --END--"
"(F(a)) & ((b) R (!(a)))","ltl3ba","ok",0,0.0106113,4,7,12,1,4,0,0,0,"HOA: v1 name: ""VWAA for (<>(a)) && ((b) V (!(a)))"" States: 4 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc deterministic univ-branch very-weak --BODY-- State: 0 ""(F(a) && ((b) R !((a))))"" [0&!1] 2 [!0&!1] 1&2 State: 1 ""((b) R !((a)))"" [0&!1] 3 [!0&!1] 1 State: 2 ""F(a)"" {0} [1] 3 [!1] 2 State: 3 ""t"" [t] 3 --END--"
"F((a) & (F(b)))","fmerg","ok",0,0.00248307,3,6,13,1,3,1,1,1,"HOA: v1 name: ""SLAA for F(a & Fb)"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 ""F(a & Fb)"" [0&1] 2 [!0 | !1] 0 {0} [0&!1] 1 State: 1 ""Fb"" [1] 2 [!1] 1 {0} State: 2 ""t"" [t] 2 --END--"
"F((a) & (F(b)))","basic","ok",0,0.00236454,3,6,13,1,3,1,1,1,"HOA: v1 name: ""SLAA for F(a & Fb)"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 ""F(a & Fb)"" [0&1] 2 [0&!1] 1 [!0 | !1] 0 {0} State: 1 ""Fb"" [1] 2 [!1] 1 {0} State: 2 ""t"" [t] 2 --END--"
"F((a) & (F(b)))","fgmerg","ok",0,0.00249127,3,6,13,2,3,1,1,1,"HOA: v1 name: ""SLAA for F(a & Fb)"" States: 3 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 2 Fin(0) & Fin(1) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 ""F(a & Fb)"" [0&1] 2 [!0 | !1] 0 {0} [0&!1] 1 State: 1 ""Fb"" [1] 2 [!1] 1 {1} State: 2 ""t"" [t] 2 --END--"
"F((a) & (F(b)))","ltl3ba","ok",0,0.0100091,3,6,13,1,3,1,1,1,"HOA: v1 name: ""VWAA for <>((a) && (<>(b)))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc complete very-weak --BODY-- State: 0 ""F((a) && F(b))"" {0} [0&1] 2 [0&!1] 1 [!0 | !1] 0 State: 1 ""F(b)"" {0} [1] 2 [!1] 1 State: 2 ""t"" [t] 2 --END--"
"F((a) & (F(b)) & ((c) R (!(b))))","fmerg","ok",0,0.00256882,4,8,30,1,4,1,1,0,"HOA: v1 name: ""SLAA for F(a & (c R !b) & Fb)"" States: 4 Start: 0 AP: 3 ""a"" ""c"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""F(a & (c R !b) & Fb)"" [t] 0 {0} [0&1&!2] 1 [0&!1&!2] 1&2 State: 1 ""Fb"" [2] 3 [!2] 1 {0} State: 2 ""c R !b"" [1&!2] 3 [!1&!2] 2 State: 3 ""t"" [t] 3 --END--"
"F((a) & (F(b)) & ((c) R (!(b))))","basic","ok",0,0.00224029,4,8,30,1,4,1,1,0,"HOA: v1 name: ""SLAA for F(a & (c R !b) & Fb)"" States: 4 Start: 0 AP: 3 ""a"" ""c"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""F(a & (c R !b) & Fb)"" [0&1&!2] 1 [0&!1&!2] 1&2 [t] 0 {0} State: 1 ""Fb"" [2] 3 [!2] 1 {0} State: 2 ""c R !b"" [1&!2] 3 [!1&!2] 2 State: 3 ""t"" [t] 3 --END--"
