"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(a) & (G(F(b)))","ltl3tela_alt","ok",0,0.00522362,2,3,6,1,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0] 1 State: 1 [!1] 1 [1] 1 {0} --END--"
"(a) & (G(F(b)))","ltl3tela_d","ok",0,0.00538711,2,3,6,1,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0] 1 State: 1 [!1] 1 [1] 1 {0} --END--"
"(a) & (G(F(b)))","ltl2tgba_d","ok",0,0.00439882,2,3,6,1,2,0,0,0,"HOA: v1 name: ""a & GFb"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic stutter-invariant --BODY-- State: 0 [0] 1 State: 1 [!1] 1 [1] 1 {0} --END--"
"(a) & (G(F(b)))","delag","ok",0,0.433031,2,6,6,2,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 2 Inf(0) & Fin(1) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&!1] 1 {1} [0&1] 1 {1} State: 1 [!0&!1] 1 [0&!1] 1 [!0&1] 1 {0} [0&1] 1 {0} --END--"
"(a) & (G(F(b)))","rabinizer4","ok",0,0.527389,2,3,6,2,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0] 1 State: 1 [1] 1 {1} [!1] 1 --END--"
"F(G(a))","ltl3tela_alt","ok",0,0.0140435,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl3tela_d","ok",0,0.0122955,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl2tgba_d","ok",0,0.0131101,1,2,2,1,1,0,0,1,"HOA: v1 name: ""FGa"" States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","delag","ok",0,0.431033,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 0 {0} [0] 0 --END--"
"F(G(a))","rabinizer4","ok",0,0.447649,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 0 {0} [0] 0 --END--"
"X((a) & (G(F(b))))","ltl3tela_alt","ok",0,0.00490658,3,4,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [!1] 2 [1] 2 {0} --END--"
"X((a) & (G(F(b))))","ltl3tela_d","ok",0,0.00604735,3,4,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [!1] 2 [1] 2 {0} --END--"
"X((a) & (G(F(b))))","ltl2tgba_d","ok",0,0.00450764,3,4,10,1,3,0,0,0,"HOA: v1 name: ""GFb & Xa"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [!1] 2 [1] 2 {0} --END--"
"X((a) & (G(F(b))))","delag","ok",0,0.410131,3,10,10,2,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 2 Inf(0) & Fin(1) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [!0&!1] 1 {1} [0&!1] 1 {1} [!0&1] 1 {1} [0&1] 1 {1} State: 1 [0&!1] 2 {1} [0&1] 2 {1} State: 2 [!0&!1] 2 [0&!1] 2 [!0&1] 2 {0} [0&1] 2 {0} --END--"
