"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"F((G(a)) | (G(b)))","ltl3ba","ok",0,0.00880393,3,5,12,1,3,1,1,0,"HOA: v1 name: ""TGBA for <>(([](a)) || ([](b)))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F(G(a) || G(b))"" [0] 2 {0} [1] 1 {0} [t] 0 State: 1 ""G(b)"" [1] 1 {0} State: 2 ""G(a)"" [0] 2 {0} --END--"
"F((G(a)) | (G(b)))","ltl3tela_alt","ok",0,0.00514209,1,3,5,3,1,1,1,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 3 (Fin(1)|Fin(2)) & Fin(0) properties: trans-labels explicit-labels trans-acc colored complete --BODY-- State: 0 [!0&!1] 0 {0} [1] 0 {1} [0] 0 {2} --END--"
"F((G(a)) | (G(b)))","ltl3tela","ok",0,0.00922217,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1] 0 {0 1} [!0&1] 0 {0} [0&!1] 0 {1} [0&1] 0 --END--"
"F((G(a)) | (G(b)))","ltl2tgba","ok",0,0.00476031,1,4,4,2,1,0,0,1,"HOA: v1 name: ""F(Ga | Gb)"" States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&1] 0 [!0&1] 0 {0} [0&!1] 0 {1} [!0&!1] 0 {0 1} --END--"
"F((G(a)) | (G(F((!(a)) | (b)))))","ltl3ba","ok",0,0.00834437,3,6,16,2,3,1,1,0,"HOA: v1 name: ""TGBA for <>(([](a)) || ([](<>((!(a)) || (b)))))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F(G(a) || GF(!((a)) || (b)))"" [0] 2 {0 1} [t] 1 {0 1} [t] 0 {0} State: 1 ""GF(!((a)) || (b))"" [0&!1] 1 {1} [!0 | 1] 1 {0 1} State: 2 ""G(a)"" [0] 2 {0 1} --END--"
"F((G(a)) | (G(F((!(a)) | (b)))))","ltl3tela_alt","ok",0,0.00587843,1,3,6,4,1,1,1,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 4 (Fin(2)|Fin(3)) & (Fin(0) | Inf(1)) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [0&!1] 0 {0 2} [!0 | 1] 0 {1 2} [0] 0 {3} --END--"
"F((G(a)) | (G(F((!(a)) | (b)))))","ltl3tela","ok",0,0.00666008,1,1,1,0,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 0 acc-name: all Acceptance: 0 t properties: trans-labels explicit-labels state-acc complete deterministic very-weak --BODY-- State: 0 [t] 0 --END--"
"F((G(a)) | (G(F((!(a)) | (b)))))","ltl2tgba","ok",0,0.00504965,1,1,1,1,1,0,0,1,"HOA: v1 name: ""F(Ga | GF(!a | b))"" States: 1 Start: 0 AP: 0 acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc colored complete deterministic stutter-invariant terminal --BODY-- State: 0 {0} [t] 0 --END--"
"G((a) & (F(G(b))) & (F((a) & (c))))","ltl3ba","ok",0,0.00839421,3,8,12,2,3,1,1,0,"HOA: v1 name: ""TGBA for []((a) && (<>([](b))) && (<>((a) && (c))))"" States: 3 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""G(((a) && FG(b)) && F((a) && (c)))"" [0&!2] 1 [0&2] 1 {1} State: 1 ""FG(b) && F((a) && (c)) && G(((a) && FG(b)) && F((a) && (c)))"" [0&1&!2] 2 {0} [0&1&2] 2 {0 1} [0&!2] 1 [0&2] 1 {1} State: 2 ""G(b) && F((a) && (c)) && G(((a) && FG(b)) && F((a) && (c)))"" [0&1&!2] 2 {0} [0&1&2] 2 {0 1} --END--"
"G((a) & (F(G(b))) & (F((a) & (c))))","ltl3tela_alt","ok",0,0.00546601,1,4,4,2,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&1&!2] 0 [0&!1&!2] 0 {0} [0&1&2] 0 {1} [0&!1&2] 0 {0 1} --END--"
"G((a) & (F(G(b))) & (F((a) & (c))))","ltl3tela","ok",0,0.0125869,1,3,4,2,1,0,0,0,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc deterministic stutter-invariant --BODY-- State: 0 [0&1&!2] 0 [0&!1] 0 {0} [0&1&2] 0 {1} --END--"
"G((a) & (F(G(b))) & (F((a) & (c))))","ltl2tgba","ok",0,0.00630554,1,3,4,2,1,0,0,0,"HOA: v1 name: ""Ga & G(FGb & F(a & c))"" States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc deterministic stutter-invariant --BODY-- State: 0 [0&1&!2] 0 [0&!1] 0 {0} [0&1&2] 0 {1} --END--"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","ltl3ba","ok",0,0.0074669,4,7,17,1,4,2,1,0,"HOA: v1 name: ""TGBA for ([]((a) || (b))) || ([](<>((a) || ([](!(b))))))"" States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""(G((a) || (b)) || GF((a) || G!((b))))"" [0 | 1] 3 {0} [t] 1 {0} State: 1 ""GF((a) || G!((b)))"" [!0] 1 [0] 1 {0} [!0&!1] 2 {0} State: 2 ""G!((b)) && GF((a) || G!((b)))"" [!1] 2 {0} State: 3 ""G((a) || (b))"" [0 | 1] 3 {0} --END--"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","ltl3tela_alt","ok",0,0.00576732,3,6,14,2,3,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0 | 1] 1 [t] 2 State: 1 [0 | 1] 1 State: 2 [!0&!1] 2 [!0&1] 2 {0} [0] 2 {1} --END--"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","ltl3tela","ok",0,0.0160572,2,5,8,2,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0 | 1] 0 [!0&!1] 1 State: 1 [!0&!1] 1 [!0&1] 1 {0} [0] 1 {1} --END--"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","ltl2tgba","ok",0,0.00755075,2,6,8,2,2,0,0,1,"HOA: v1 name: ""G(a | b) | F(G!b | GFa)"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0 | 1] 0 [!0&!1] 1 State: 1 [!0&!1] 1 [!0&1] 1 {0} [0&!1] 1 {1} [0&1] 1 {0 1} --END--"
"(G(a)) | (G(F(b)))","ltl3ba","ok",0,0.00905078,3,5,12,1,3,1,1,0,"HOA: v1 name: ""TGBA for ([](a)) || ([](<>(b)))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""(G(a) || GF(b))"" [0] 2 {0} [t] 1 {0} State: 1 ""GF(b)"" [!1] 1 [1] 1 {0} State: 2 ""G(a)"" [0] 2 {0} --END--"
"(G(a)) | (G(F(b)))","ltl3tela_alt","ok",0,0.00676689,3,5,12,1,3,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0] 1 [t] 2 State: 1 [0] 1 {0} State: 2 [!1] 2 [1] 2 {0} --END--"
"(G(a)) | (G(F(b)))","ltl3tela","ok",0,0.00666543,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!1] 0 [1] 0 {0} State: 1 [!0] 0 [0] 1 {0} --END--"
"(G(a)) | (G(F(b)))","ltl2tgba","ok",0,0.00456902,2,4,8,1,2,0,0,1,"HOA: v1 name: ""Ga | GFb"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 {0} [!0] 1 State: 1 [!1] 1 [1] 1 {0} --END--"
