"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"G((F(b)) & (F(a)))","ltl3ba","ok",0,0.0073925,4,9,16,1,4,0,0,1,"HOA: v1 name: ""VWAA for []((<>(b)) && (<>(a)))"" States: 4 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc complete deterministic univ-branch very-weak --BODY-- State: 0 ""G(F(b) && F(a))"" [0&1] 0 [!0&1] 0&2 [0&!1] 0&1 [!0&!1] 0&1&2 State: 1 ""F(a)"" {0} [1] 3 [!1] 1 State: 2 ""F(b)"" {0} [0] 3 [!0] 2 State: 3 ""t"" [t] 3 --END--"
"G((F(b)) & (F(a)))","basic","ok",0,0.00182048,4,9,16,1,4,0,0,1,"HOA: v1 name: ""SLAA for G(Fb & Fa)"" States: 4 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic univ-branch --BODY-- State: 0 ""G(Fb & Fa)"" [0&1] 0 [0&!1] 0&1 [!0&1] 0&2 [!0&!1] 0&1&2 State: 1 ""Fa"" [1] 3 [!1] 1 {0} State: 2 ""Fb"" [0] 3 [!0] 2 {0} State: 3 ""t"" [t] 3 --END--"
"G((F(b)) & (F(a)))","fmerg","ok",0,0.00174855,4,9,16,1,4,0,0,1,"HOA: v1 name: ""SLAA for G(Fb & Fa)"" States: 4 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic univ-branch --BODY-- State: 0 ""G(Fb & Fa)"" [0&1] 0 [0&!1] 0&1 [!0&1] 0&2 [!0&!1] 0&1&2 State: 1 ""Fa"" [1] 3 [!1] 1 {0} State: 2 ""Fb"" [0] 3 [!0] 2 {0} State: 3 ""t"" [t] 3 --END--"
"G((F(b)) & (F(a)))","fgmerg","ok",0,0.00174619,1,4,4,4,1,0,0,1,"HOA: v1 name: ""SLAA for G(Fb & Fa)"" States: 1 Start: 0 AP: 2 ""b"" ""a"" Acceptance: 4 (Inf(3) | Fin(1)) & (Inf(2) | Fin(0)) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 ""G(Fb & Fa)"" [0&1] 0 {2 3} [0&!1] 0 {1 2} [!0&1] 0 {0 3} [!0&!1] 0 {0 1} --END--"
"G((F(b)) & (F(a)))","fgmerg_opt","ok",0,0.0018499,1,4,4,4,1,0,0,1,"HOA: v1 name: ""SLAA for G(Fb & Fa)"" States: 1 Start: 0 AP: 2 ""b"" ""a"" Acceptance: 4 (Inf(3) | Fin(1)) & (Inf(2) | Fin(0)) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 ""G(Fb & Fa)"" [0&1] 0 {2 3} [0&!1] 0 {1 2} [!0&1] 0 {0 3} [!0&!1] 0 {0 1} --END--"
"G(F(a))","ltl3ba","ok",0,0.00735021,3,5,6,1,3,0,0,1,"HOA: v1 name: ""VWAA for [](<>(a))"" States: 3 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc complete deterministic univ-branch very-weak --BODY-- State: 0 ""GF(a)"" [0] 0 [!0] 0&1 State: 1 ""F(a)"" {0} [0] 2 [!0] 1 State: 2 ""t"" [t] 2 --END--"
"G(F(a))","basic","ok",0,0.00197055,3,5,6,1,3,0,0,1,"HOA: v1 name: ""SLAA for GFa"" States: 3 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic univ-branch --BODY-- State: 0 ""GFa"" [0] 0 [!0] 0&1 State: 1 ""Fa"" [0] 2 [!0] 1 {0} State: 2 ""t"" [t] 2 --END--"
"G(F(a))","fmerg","ok",0,0.00160332,3,5,6,1,3,0,0,1,"HOA: v1 name: ""SLAA for GFa"" States: 3 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic univ-branch --BODY-- State: 0 ""GFa"" [0] 0 [!0] 0&1 State: 1 ""Fa"" [0] 2 [!0] 1 {0} State: 2 ""t"" [t] 2 --END--"
"G(F(a))","fgmerg","ok",0,0.00159868,1,2,2,2,1,0,0,1,"HOA: v1 name: ""SLAA for GFa"" States: 1 Start: 0 AP: 1 ""a"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc colored complete deterministic --BODY-- State: 0 ""GFa"" [0] 0 {1} [!0] 0 {0} --END--"
"G(F(a))","fgmerg_opt","ok",0,0.00154766,1,2,2,2,1,0,0,1,"HOA: v1 name: ""SLAA for GFa"" States: 1 Start: 0 AP: 1 ""a"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc colored complete deterministic --BODY-- State: 0 ""GFa"" [0] 0 {1} [!0] 0 {0} --END--"
