"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"G((F(b)) & (F(a)))","ltl3ba","ok",0,0.0078528,1,4,4,2,1,0,0,1,"HOA: v1 name: ""TGBA for []((<>(b)) && (<>(a)))"" States: 1 Start: 0 AP: 2 ""b"" ""a"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 ""G(F(b) && F(a))"" [!0&!1] 0 [0&!1] 0 {0} [!0&1] 0 {1} [0&1] 0 {0 1} --END--"
"G((F(b)) & (F(a)))","ltl3tela_alt","ok",0,0.00479977,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""b"" ""a"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1] 0 [!0&1] 0 {1} [0&!1] 0 {0} [0&1] 0 {0 1} --END--"
"G((F(b)) & (F(a)))","ltl3tela","ok",0,0.00695882,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""b"" ""a"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1] 0 [!0&1] 0 {1} [0&!1] 0 {0} [0&1] 0 {0 1} --END--"
"G((F(b)) & (F(a)))","ltl2tgba","ok",0,0.00489717,1,4,4,2,1,0,0,1,"HOA: v1 name: ""G(Fb & Fa)"" States: 1 Start: 0 AP: 2 ""b"" ""a"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!1] 0 [!0&1] 0 {1} [0&!1] 0 {0} [0&1] 0 {0 1} --END--"
"G(F(a))","ltl3ba","ok",0,0.00838867,1,2,2,1,1,0,0,1,"HOA: v1 name: ""TGBA for [](<>(a))"" States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 ""GF(a)"" [!0] 0 [0] 0 {0} --END--"
"G(F(a))","ltl3tela_alt","ok",0,0.0050581,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 0 [0] 0 {0} --END--"
"G(F(a))","ltl3tela","ok",0,0.00439125,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 0 [0] 0 {0} --END--"
"G(F(a))","ltl2tgba","ok",0,0.0043795,1,2,2,1,1,0,0,1,"HOA: v1 name: ""GFa"" States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0] 0 [0] 0 {0} --END--"
"G((F(a)) & (F(G(b))))","ltl3ba","ok",0,0.00772508,3,8,12,2,3,1,1,0,"HOA: v1 name: ""TGBA for []((<>(a)) && (<>([](b))))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""G(F(a) && FG(b))"" [!0] 1 [0] 1 {0} State: 1 ""F(a) && FG(b) && G(F(a) && FG(b))"" [!0&1] 2 {1} [0&1] 2 {0 1} [!0] 1 [0] 1 {0} State: 2 ""F(a) && G(b) && G(F(a) && FG(b))"" [!0&1] 2 {1} [0&1] 2 {0 1} --END--"
"G((F(a)) & (F(G(b))))","ltl3tela_alt","ok",0,0.00483355,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&1] 0 [!0&!1] 0 {0} [0&1] 0 {1} [0&!1] 0 {0 1} --END--"
